Code,lat,lon,Sitio,Barangay,Municipality,Province,Region
agb,11.2832483,122.8317353,,Agbatuan,Dumarao,Capiz,VI
bak,16.790194,120.661316,,Poblacion,Bakun,Benguet,CAR 
ban,9.888583,123.948777,,Banlasan,Calape,Bohol,
bar,11.902778,124.656645,,Baras,Tarangan,Samar,VIII
bat,10.013716,123.578378,,Bato,Sibonga,Cebu,VII
bay,14.1873826,122.4679451,,Bayabas,Labo,Camarines Norte,V 
blc,10.8272781,122.3106782,,Boloc,Tubungan,Iloilo,VI 
bol,10.301661,125.127625,,Bolod-bolod,St. Bernard,Southern Leyte,VIII
car,9.71849,125.9742165,,San Carlos,Dapa,Surigao del Norte,CARAGA
cud,16.8093915,121.1047143,,Cudog,Lagawe,Ifugao,CAR
dad,7.1376396,126.4519035,,Dadong,Tarragona,Davao Oriental,XI
gaa,10.423511,123.785087,,Gaas,Balamban,Cebu,VII
gam,9.009411,126.166477,,Gamut,Tago,Surigao del Sur,CARAGA
hin,11.700638,125.06906,,Brgy 1 & 2,Hinabangan,Samar,VIII
hum,10.182336,123.250916,,Humay-humay,Guihulnan City,Negros Oriental,VII 
ime,11.904616,124.752535,,Imelda,Tarangnan,Samar,VIII
imu,17.522411,120.604644,,Immuli,Pidigan,Abra,
ina,10.893,122.434998,,Inabasan,Maasin  ,Iloilo,VI
kan,7.103312,125.7188463,,Kanaan,Samal Island,Davao del Norte,XI
lab,16.47045211,120.7048827,Labey,Ambuklao,Bokod,Benguet,CAR 
lay,11.5379309,125.0204229,,Laygayon,Pinabacdao,Samar,VIII
lip,10.227355,125.12695,,Lipanto,St. Bernard,Southern Leyte,VIII
lpa,11.85,125.116669,,Lipata,Paranas,Samar,VIII
lun,10.2581463,124.8789437,Caianuhan,Lunas,Maasin City,Southern Leyte,VIII
mca,8.5867075,125.7400703,,McArthur,Esperanza,Agusan del Sur,CARAGA
mag,7.5188978,125.0589503,upper,Magsaysay,Kibawe,Bukidnon,X 
mam,16.48981427,120.6895137,Mamuyod,Ambassador,Tublay,Benguet,CAR 
man,10.0435708,123.1967354,,Manghulyawon,La Libertad,Negros Oriental,VII 
mar,10.8299339,122.3300171,,Marirong,Leon,Iloilo,VI
nag,16.6267828,120.4175215,,Nagyubuyuban,San Fernando City,La Union,I
nin,7.625572,125.618668,,Sto Nino,Talaingod,Davao del Norte,XI
nur,9.269567,126.138702,,Nurcia,Lanuza ,Surigao del Sur,CARAGA
osl,9.757176,125.400996,,Oslao,San Francisco,Surigao del Norte,CARAGA
pan,12.630633,124.018305,,Pange,Matnog,Sorsogon,
par,11.5275028,125.0296068,,Parasanon,Pinabacdao,Samar,VIII
pep,10.782319,122.388022,,Pepe,Leon,Iloilo,VI
pin,13.953603,122.285495,,Pinagkamaligan,Calauag,Quezon,IVB
pla,10.157525,123.244548,Mambog,Planas,Guihulnan City,Negros Oriental,VII 
pob,11.9774476,124.8247558,,Poblacion 1,San Jorge,Samar,VIII
pug,16.44652966,120.5707669,Longlong,Puguis,La Trinidad,Benguet,CAR 
sag,17.0826713,120.9247757,,Antadao,Sagada,Mt. Province,CAR
sib,7.8256388,126.383391,,Sibahay,Boston,Davao Oriental,XI
sin,16.72308485,120.7815269,Sinipsip,Amgaleyguey,Buguias,Benguet,CAR 
sum,8.5453106,124.8599572,,Sumalsag,Malitbog,Bukidnon,X 
tal,11.637422,124.366486,,Talahid,Almeria,Biliran,
tam,17.307704,120.601438,,Tamac,Villaviciosa,Abra,
tue,16.9700429,120.8287809,,Tue,Tadian,Mt. Province,CAR
umi,10.816948,122.433416,,Umingan,Alimodian,Iloilo,VI
